sub,number,name,url,description,catalog
ACC,221,Financial Accounting,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ACC-Accounting/200/ACC-221,"An introduction to the field of accounting, emphasizing double-entry record keeping, preparation of balance sheets and income statements, and the uses and limitations of external financial reporting. Prerequisites: BUS-100 and MAT-125 or MAT-212 or MAT-150 or higher-level calculus course.",2015
ACC,222,Managerial Accounting,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ACC-Accounting/200/ACC-222,"A study of the role of accounting information in decision-making emphasizing the use of accounting data for internal management decisions.  The course includes an introduction to cash flows, cost accounting, cost-volume-profit relationships and budgeting in business decisions. Prerequisite: ACC-221",2015
ACC,318,Intermediate Accounting I,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ACC-Accounting/300/ACC-318,"A comprehensive study of the theory, principles and procedures used in reporting financial information to decision makers via the balance sheet and statements of income, retained earnings and changes in financial position. Prerequisites: ACC-222 and BUS-330",2015
ACC,320,Intermediate Accounting II,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ACC-Accounting/300/ACC-320,"A comprehensive study of the theory, principles and procedures used in reporting financial information to decision makers via the balance sheet and statements of income, retained earnings and changes in financial position. Prerequisite: ACC-318",2015
ACC,323,Electronic Accounting and Analysis,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ACC-Accounting/300/ACC-323,"This course is an introduction to electronic accounting and simulation analysis. Students will utilize computer packages in both areas, through ""hands on"" exercises, to develop and report information and strategies for managerial consideration. Prerequisite: ACC-221",2015
ACC,423,Auditing,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ACC-Accounting/400/ACC-423,"A study of the principles governing the independent review of financial statements, professional standards, ethics, evaluation of internal control, auditing procedures and preparation of working papers. Prerequisite: ACC-320",2015
ACC,424,Tax Accounting I,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ACC-Accounting/400/ACC-424,"A study of income, excise, and social security taxation emphasizing individual and small enterprise tax problems. Selected fields of small enterprise activity are explored to provide specific emphasis. Prerequisites: ACC-222",2015
ACC,425,Tax Accounting II,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ACC-Accounting/400/ACC-425,"A study of income, excise, and social security taxation emphasizing individual and small enterprise tax problems.  Selected fields of small enterprise activity are explored to provide specific emphasis.Prerequisite.: ACC-424.",2015
ACC,426,Fund Accounting,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ACC-Accounting/400/ACC-426,"A study of the special nature of accounting for govern- mental, institutional, and non-profit economic entities.  The course will cover budgeting, fund characteristics, cost accounting systems, and analysis.Prerequisite: ACC-222.",2015
ACC,427,Cost Accounting,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ACC-Accounting/400/ACC-427,"A study of the role of accounting information in decision making emphasizing the use of accounting data for internal management decisions. The course includes an introduction to cash flows, cost accounting, cost-volume-profit relationships, and budgeting in business decisions and the theory, terminology, accumulation, reporting and evaluation of costs, including job order process and standard cost break-even analysis and budgeting techniques. Prerequisite: ACC-222",2015
ACC,494,Independent Study,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ACC-Accounting/400/ACC-494,Arranged.  Prereq.:  Permission.  Research in the~ field of concentration for qualified students.~ This course fulfills the General Graduation Re-~ quirement for independent work.  See independent~ study guidelines.,2015
ACC,497,Internship,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ACC-Accounting/400/ACC-497,Individually arranged and supervised internships with sponsors such as business organizations designed to provide practical experience in the field of concentration. Periodic reports and papers may be required.  Prerequisite: Instructor Permission,2015
ART,100,Drawing and Composition,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/100/ART-100,A study of the principles and elements of composition using an extensive selection of drawing media.  Primary focus is on black and white. *Extra fees apply in most studio art courses. See Course Schedule for details.,2015
ART,101,Basic Painting,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/100/ART-101,Instruction in the basic principles of painting composition.  Emphasis will be on the individual's creative development through the exploration of both opaque and transparent media. *Extra fees apply in most studio art courses. See Course Schedule for details.,2015
ART,103,Ceramics,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/100/ART-103,"A basic introduction to pottery and sculptural forms in clay, using both hand and wheel methods. The course includes instruction in a variety of glazing and firing techniques, such as stoneware, raku, and low-fire glazing. *Extra fees apply in most studio art courses. See Course Schedule for details.",2015
ART,107,Digital Imaging,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/100/ART-107,"This course will explore the use of both traditional and digital means to create concept-driven images. Topics will include but are not limited to digital negatives, retouch and image manipulation using Adobe CC Photoshop. *Extra fees apply in most studio art courses.",2015
ART,108,Introduction to Web Design,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/100/ART-108,"This introductory studio course will address visual and functional design in websites. Topics such as design, usability, navigation, hyperlinks, text, and images will be covered through studio assignments using Adobe CC Dreamweaver.  *Extra fees apply in most studio art courses.",2015
ART,120,Jewelry Making,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/100/ART-120,This studio course will introduce students to jewelry design and construction using metal and other materials. *Extra fees apply in most studio art courses. See Course Schedule for details.,2015
ART,125,Introduction to Raku Ceramics,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/100/ART-125,"A studio course exploring basic ceramic techniques, pottery design, and the Japanese quick-fire method of Raku.  *Extra fees apply in most studio art courses. See Course Schedule for details.",2015
ART,125L,Intro Raku Ceramics Lab,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/100/ART-125L,nan,2015
ART,128,Understanding Spirit in Art & Culture,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/100/ART-128,"This course will examine a variety of cultural groups where artistic, spirtual, and cultural experience are integrated or woven into the fabric of life as a whole.  It will focus on Native American and other cultures where ritual, art, and daily life are integrated. The course will also include cross-cultural case studies and field trips.(Cross-Listed as ATH-128)",2015
ART,130,Introduction to Design,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/100/ART-130,"This studio course will explore the creative application of design elements and principles which provide a conceptual basis for organizing two- dimensional composition. Issues of line, color, shape, texture and space will be explored through a variety of media.  *Extra fees apply in most studio art courses.",2015
ART,132,Three-Dimensional Design,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/100/ART-132,"This studio course will explore the visual elements and principles of three-dimensional design and their creative and conceptual application in fine and applied design. Concepts such as line, volume, mass, space, time and movement will be investigated in a variety of materials and techniques. *Extra fees apply in most studio art courses.",2015
ART,199T,Special Topics in Art,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/100/ART-199T,"These one-credit introductory topics offer students a variety of hands-on studio experiences. All courses will address basic design principles and artistic concepts, and will allow students to explore a variety of media. Topics may include: Handmade Paper and Books, The Sketchbook, The Ceramic Cup, Small Works, Color, Graphic Design, Artistic Transformations of the Human Body, and The Spirit of the Land.",2015
ART,201,Graphic Design,http://collegeofidaho.smartcatalogiq.com/en/2015-16/Undergraduate-Catalog/Courses/ART-Art/200/ART-201,"This course will focus on the field of graphic design. Topics will include the use of basic typography, imagery, and visual organization and will include both traditional and digital approaches to graphic design. This course will also provide an introduction to Adobe CC Illustrator, Photoshop and InDesign. *Extra fees apply in most studio art courses.",2015
