"sub","number","name","url"
"ACC","221","Financial Accounting","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ACC-Accounting/200/ACC-221"
"ACC","222","Managerial Accounting","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ACC-Accounting/200/ACC-222"
"ACC","318","Intermediate Accounting I","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ACC-Accounting/300/ACC-318"
"ACC","320","Intermediate Accounting II","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ACC-Accounting/300/ACC-320"
"ACC","323","Electronic Accounting & Analysis","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ACC-Accounting/300/ACC-323"
"ACC","423","Auditing","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ACC-Accounting/400/ACC-423"
"ACC","424","Tax Accounting I","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ACC-Accounting/400/ACC-424"
"ACC","425","Tax Accounting II","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ACC-Accounting/400/ACC-425"
"ACC","426","Fund Accounting","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ACC-Accounting/400/ACC-426"
"ACC","427","Cost Accounting","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ACC-Accounting/400/ACC-427"
"ACC","494","Independent Study","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ACC-Accounting/400/ACC-494"
"ACC","497","Internship","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ACC-Accounting/400/ACC-497"
"ART","100","Drawing and Composition","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/100/ART-100"
"ART","101","Basic Painting","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/100/ART-101"
"ART","103","Ceramics","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/100/ART-103"
"ART","107","Digital Imaging","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/100/ART-107"
"ART","108","Introduction to Web Design","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/100/ART-108"
"ART","120","Jewelry Making","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/100/ART-120"
"ART","121","Book Arts and Papermaking","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/100/ART-121"
"ART","125","Introduction to Raku Ceramics","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/100/ART-125"
"ART","130","Introduction to Design","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/100/ART-130"
"ART","132","Three-Dimensional Design","http://collegeofidaho.smartcatalogiq.com/en/2016-2017/Undergraduate-Catalog/Courses/ART-Art/100/ART-132"
