"Crs.Name","Title","Sections.Offered","Terms.w.Sect","avg.Enroll","avg.Cap"
"ACC-221","Financial Accounting",17,15,29.06,30.71
"ACC-222","Managerial Accounting",15,15,24.53,29.27
"ACC-300","Accounting Information Systems",1,1,14,20
"ACC-318","Intermediate Accounting I",8,8,10,22.25
"ACC-320","Intermediate Accounting II",5,5,4.8,23
"ACC-320","Intermediate Accounting III",2,2,11,24
"ACC-323","Electronic Accounting Analysis",1,1,19,25
"ACC-399T","Acct Information Systems",1,1,5,15
"ACC-423","Auditing",3,3,11.33,21.67
"ACC-424","Tax Accounting I",6,6,10.17,22.5
"ACC-425","Tax Accounting",1,1,19,24
"ACC-425","Tax Accounting II",1,1,10,20
"ACC-426","Fund Accounting",1,1,11,25
"ACC-427","Cost Accounting",4,4,9.5,21.25
"ACC-499T","Advanced Accounting",2,2,4.5,22.5
"ARH-200","Ancient to Medieval",1,1,11,25
"ARH-330","Picasso and 20th Century Art",1,1,14,25
"ART-100","Drawing & Composition",12,11,15.67,15.83
"ART-100","Drawing and Composition",4,4,14,16
"ART-101","Basic Painting",7,7,17.57,15.43
"ART-103","Ceramics",8,8,14.12,14.25
"ART-107","Digital Imaging",7,5,19.57,20.57
"ART-108","Introduction to Web Design",8,5,19.62,21
"ART-111","Ways of Seeing",1,1,9,5
"ART-115","Digital Imaging",3,2,23,24
"ART-120","Jewelry Making",3,3,12.67,16
"ART-125","Introduction to Raku Ceramics",5,4,14,14.4
"ART-128","Spirit in Art & Culture",2,2,17.5,17.5
"ART-129","Web Design",3,3,23.33,24
"ART-130","Introduction to Design",23,17,16,16
"ART-131","Introduction to 2-D Media",1,1,18,15
"ART-132","Three-Dimensional Design",2,2,8,15
"ART-151","Introduction to 3-D Media",1,1,12,11
"ART-199T","Ways of Seeing",1,1,20,25
"ART-199T.9","Topics: Jewelry Making",2,2,16.5,15
"ART-201","Graphic Design",6,6,17.33,18
"ART-201","Visual Communication I",7,4,16.14,15.43
"ART-202","Visual Communication II",4,3,8.75,20.25
"ART-205","Illustration & Vis Narrative",4,2,6.5,18
"ART-207","Digital Video",3,3,9.33,16.33
"ART-230","Introduction to Sculpture",5,5,13.4,13.2
"ART-231","Drawing and Composition",1,1,5,16
"ART-239","Ancient to Medieval",6,6,23.5,25
"ART-240","Renaissance to Modern",6,6,23,25.83
"ART-255","Ceramics",1,1,3,14
"ART-271","Digital Imaging",1,1,13,18
"ART-294","Art of Medical Illustration",1,1,1,5
"ART-294","Digital Imaging Teaching Asst",1,1,1,5
"ART-294F","Graphic Design-Modern Inform",1,1,1,5
"ART-302","Drawing the Portrait",8,4,10.75,15.5
"ART-315","Printmaking",4,4,10.75,15
"ART-320","Advanced Studio Projects",12,12,13.08,16
"ART-321","Graphic Design Studio",3,3,9,20
