Date,Open,High,Low,Close,Adj Close,Volume
1970-01-01,1.250000,1.253472,1.184028,1.206597,0.443226,3528000
1970-01-08,1.206597,1.239583,1.201389,1.229167,0.451517,3542400
1970-01-15,1.229167,1.232639,1.192708,1.218750,0.447690,4766400
1970-01-22,1.218750,1.225694,1.135417,1.135417,0.417079,4348800
1970-01-29,1.131944,1.201389,1.072917,1.095486,0.402411,13492800
1970-02-05,1.095486,1.215278,1.092014,1.194444,0.438762,9014400
1970-02-12,1.194444,1.194444,1.090278,1.109375,0.407513,8524800
1970-02-19,1.109375,1.109375,1.050347,1.097222,0.403796,8539200
1970-02-26,1.086806,1.123264,1.064236,1.109375,0.408268,6235200
1970-03-05,1.109375,1.112847,1.066840,1.085069,0.399323,3859200
1970-03-12,1.085938,1.093750,1.053819,1.064236,0.391656,4550400
1970-03-19,1.067708,1.100694,1.041667,1.086806,0.399962,5803200
1970-03-26,1.086806,1.093750,1.062500,1.065104,0.391975,3801600
1970-04-02,1.059028,1.059028,0.987847,0.993056,0.365460,6336000
1970-04-09,0.993056,1.039931,0.993056,1.027778,0.378239,8064000
1970-04-16,1.027778,1.027778,1.000000,1.000868,0.368336,4708800
1970-04-23,1.000868,1.001736,0.934028,0.986111,0.362905,5472000
1970-04-30,0.986111,1.006944,0.946181,0.961806,0.353960,3542400
1970-05-07,0.965278,0.982639,0.935764,0.938368,0.345335,3888000
1970-05-14,0.938368,1.010417,0.916667,0.919271,0.338306,3532800
1970-05-21,0.906250,0.906250,0.776042,0.838542,0.308597,7915200
1970-05-28,0.838542,0.966146,0.828125,0.966146,0.356229,8971200
1970-06-04,0.966146,0.997396,0.911458,0.934896,0.344707,4665600
1970-06-11,0.934896,1.057292,0.927083,1.020833,0.376393,3585600
1970-06-18,1.020833,1.057292,0.958333,0.971354,0.358149,3436800
1970-06-25,0.971354,1.000000,0.940104,0.973958,0.359110,2496000
1970-07-02,0.973958,0.986979,0.934896,0.968750,0.357189,2212800
1970-07-09,0.973958,1.023438,0.973958,1.000000,0.368712,2630400
1970-07-16,1.000000,1.052083,0.994792,1.031250,0.380234,6508800
1970-07-23,1.031250,1.046875,0.984375,1.033854,0.381194,4008000
1970-07-30,1.033854,1.039063,0.984375,0.986979,0.363911,3019200
1970-08-06,0.989583,1.002604,0.937500,0.945313,0.348548,3091200
1970-08-13,0.945313,0.963542,0.890625,0.940104,0.346627,5318400
1970-08-20,0.940104,1.031250,0.927083,1.010417,0.373242,3700800
1970-08-27,1.010417,1.026042,0.994792,1.005208,0.371318,2793600
1970-09-03,1.005208,1.125000,1.005208,1.114583,0.411721,3604800
1970-09-10,1.101563,1.104167,1.046875,1.078125,0.398253,3590400
1970-09-17,1.078125,1.104167,1.041667,1.067708,0.394405,3038400
1970-09-24,1.070313,1.119792,1.062500,1.098958,0.405949,4939200
1970-10-01,1.098958,1.161458,1.096354,1.156250,0.427112,3412800
1970-10-08,1.151042,1.151042,1.062500,1.125000,0.415569,2812800
1970-10-15,1.125000,1.145833,1.085938,1.135417,0.419416,2836800
