"Grad.Year","Degree","Major1","Major2","Minor1","Minor2","Minor3","Concentration"
2012,"BA","BUS",NA,"MAT",NA,NA,""
2012,"BA","PSY",NA,"PHY"," CRW"," CSC",""
2011,"BA","MUS",NA,"EDS"," MAT",NA,"SIME"
2011,"BA","ACCT",NA,"MAT",NA,NA,""
2011,"BS","MAT",NA,"CHE"," PHY",NA,""
2013,"BS","MATPH",NA,"CSC",NA,NA,""
2012,"BA","BUS",NA,"SPA"," PSY"," MAT","MAR"
2012,"BS","MAT",NA,"PHY",NA,NA,""
2012,"BS","MATPH",NA,"FRE"," ATH"," DUENG",""
2012,"BS","CHE",NA,"ED10"," PHY",NA,""
2012,"BA","POE",NA,"AIS"," MAT",NA,""
2012,"BA","ACCT",NA,"MAT"," PSY"," SPA",""
2013,"BS","MATPH",NA,"VSTDY"," CSC"," ARTDE",""
2013,"BA","MATPH",NA,"PHY",NA,NA,"PREEN"
2013,"BA","POE",NA,"AIS"," MAT"," BUS",""
2013,"BA","IPE"," ELIT","BUS"," MAT",NA,""
2013,"BS","MATPH",NA,"CRIJU"," CSC"," SPA",""
2013,"BA","BUS",NA,"AIS"," HIS"," MAT",""
2014,"BA","MUS",NA,"CLA"," CSD"," MUSPE",""
2015,"BS","MATPH",NA,"DUENG"," REL"," EDS",""
2014,"BA","PSY",NA,"ARTDE"," CRIJU"," MAT",""
2014,"BS","CHE",NA,"ARTDE"," HIS"," CSC",""
2014,"BA","POE",NA,"MAT"," REL"," POLAW",""
2014,"BS","PSY",NA,"THE"," MAT"," NATSK",""
2014,"BA","EDIND",NA,"MAT"," REL"," HIS",""
2014,"BA","BUS",NA,"ARTDE"," PSY"," MAT","MAR"
2014,"BA","MAPHD",NA,"FRE"," ATH"," DUENG",""
2014,"BA","PSY",NA,"MUS"," HUSVC"," PHSCI",""
2014,"BA","BUS"," SPA","PSY"," MAT",NA,""
2014,"BS","MAT",NA,"MUS"," PSY"," CSC",""
2014,"BS","CHE",NA,"HEAPR"," PHY"," PSY","PREMD"
2014,"BA","ELIT",NA,"BIO"," CSC"," ATH",""
2014,"BA","MATPH",NA,"PSY"," ARTDE"," CSC",""
2014,"BA","BUS",NA,"CRW"," PSY"," MAT",""
2014,"BA","BUS",NA,"MAT"," POINT",NA,""
2014,"BA","BUS",NA,"ARTDE"," CSD",NA,""
2015,"BS","MATPH",NA,"PSY"," CSC",NA,""
2015,"BS","HEA",NA,"MAT"," HEAPR"," ENHUM","PREOC"
2016,"BA","ACCT",NA,"ARTDE"," PSY"," MAT",""
2015,"BA","HIS",NA,"AIS"," PHY"," CHEAN",""
2015,"BA","BUS",NA,"ATH"," CSD"," MUS",""
2015,"BS","MAT",NA,"ARTDE"," CSC",NA,""
2015,"BS","ENVST",NA,"DUENG",NA,NA,"SELF"
2015,"BA","HIS",NA,"MATAP"," ED10",NA,""
2015,"BA","PSY",NA,"RELST"," CHEAN"," PHSCI",""
2015,"BS","BIO",NA,"PSY"," PHSCI",NA,""
