"id","crs","std.year"
"8b551f6ba68aef2c9da1bf682e44716c","CSC-150",0.4
"8b551f6ba68aef2c9da1bf682e44716c","MAT-252",0.4
"8b551f6ba68aef2c9da1bf682e44716c","MAT-175",0
"5069338819f368fb8960772475069d02","CSC-150",0.4
"5069338819f368fb8960772475069d02","MAT-175",0.4
"5069338819f368fb8960772475069d02","MAT-150",0
"7fe0be15b2d300de0dd39a59d5c71bb5","MAT-150",0.4
"7fe0be15b2d300de0dd39a59d5c71bb5","MAT-130",0
"bfb79c148b1dc72c255c70387d2cbebc","MAT-372",3.2
"bfb79c148b1dc72c255c70387d2cbebc","MAT-431",3.4
"bfb79c148b1dc72c255c70387d2cbebc","MAT-361",2.4
"bfb79c148b1dc72c255c70387d2cbebc","MAT-451",2.4
"bfb79c148b1dc72c255c70387d2cbebc","MAT-494",3
"bfb79c148b1dc72c255c70387d2cbebc","MAT-280",1.2
"bfb79c148b1dc72c255c70387d2cbebc","MAT-361",1.4
"bfb79c148b1dc72c255c70387d2cbebc","CSC-150",0.4
"bfb79c148b1dc72c255c70387d2cbebc","CSC-152",1
"bfb79c148b1dc72c255c70387d2cbebc","MAT-275",1
"bfb79c148b1dc72c255c70387d2cbebc","MAT-175",0
"1f0af807c8f11fb19cb43f303d0c2aa0","CSC-270",0.4
"1f0af807c8f11fb19cb43f303d0c2aa0","MAT-212",0.4
"1f0af807c8f11fb19cb43f303d0c2aa0","CSC-152",0
"1f0af807c8f11fb19cb43f303d0c2aa0","MAT-175",0
"b14291defaf187f7fe06e45205cccedf","MAT-281",1.2
"b14291defaf187f7fe06e45205cccedf","CSC-270",1.4
"b14291defaf187f7fe06e45205cccedf","CSC-340",1.4
"b14291defaf187f7fe06e45205cccedf","MAT-252",1.4
"b14291defaf187f7fe06e45205cccedf","CSC-150",0.4
"b14291defaf187f7fe06e45205cccedf","MAT-175",0.4
"b14291defaf187f7fe06e45205cccedf","CSC-152",1
"b14291defaf187f7fe06e45205cccedf","MAT-150",0
"ce0ae838c249eb66cb51650042080763","CSC-150",0
"ce0ae838c249eb66cb51650042080763","MAT-175",0
"443b7dab4e82687cc4f319f7f26afbf2","CSC-285",2.2
"443b7dab4e82687cc4f319f7f26afbf2","CSC-270",2.4
